000095;COMFLICT DESERT STORM 2 BACK BAGDAD;ACCIÓN;8;
000096;DINASTY WARRIO XTREME LEGEND;ROL;5;
000097;SNIPER ELITE;ACCIÓN;9;
000098;DURO DE MATAR 3;ACCIÓN;0;
000099;GHOST RECON ADVANCE WARFIGHTER;ACCIÓN;7;
000100;MEDAL OF HONOR EUROPEAN ASSAULT;ACCIÓN;6;
000101;MEDAL OF HONOR FRONTLINE;ACCIÓN;5;
000102;METAL SLUG 3 ;ARCADE;2;
000103;METAL SLUG 3D;ARCADE;6;
000104;METAL SLUG 5;ARCADE;6;
000105;METALS SLUG 6;ARCADE;8;
000106;SPARTAN TOTAL WARRIOR;ACCIÓN;6;
000107;STAR WARS BATTLE FRONT ;ACCIÓN;6;
000108;STAR WARS BATTLE FRONT 2;ACCIÓN;3;
000109;STAR WARS EPISODE 3 LA VENGANZA DE LOS SITH;ACCIÓN;7;
000110;SWAT GLOVAL STRIKE TEAM;ACCIÓN;12;
000111;TERMINATOR 3;ACCIÓN;8;
000112;THE GOTFATHER;ACCIÓN;4;
000113;THE PUNISHER;ACCIÓN;5;
000114;THE WARRIOS;ACCIÓN;12;
000115;TOMB RAIDER LEGEND;ACCIÓN;9;
000116;URBAN CHAOS GUERRA;ACCIÓN;5;
000117;VAN HELSING;ACCIÓN;4;
000118;VIETCONG;ACCIÓN;8;
000119;WID ARMS ALTER CODEF;ROL;2;
000120;LEISURE SUIT LARRY;ESTRATEGIA;2;
000121;LOS SIMS 1 TOMAN LA CALLE;ESTRATEGIA;3;
000122;LOS SIMS 2;ESTRATEGIA;2;
000123;PLAY BOY THE MANSION (VOCES EN ESP.);ESTRATEGIA;8;
000124;ROLAN GARROS 2005;DEPORTIVO;3;
000125;SILENT HILL 3 ESP.;ACCIÓN;4;
000126;MLB 2006 THE SOW STRAY;DEPORTIVO;1;
000127;NICKTOONS UNITE BOB SPOJA JIMY NEUTRON;INFANTILES;4;
000128;JACKED;DEPORTIVO;5;
000129;JAWS UNLEASHED;INFANTILES;10;
000130;LOONEY TUNES;INFANTILES;3;
000131;PAC MAN MORLD 3;INFANTILES;6;
000132;REAL ROBOT REGIMENT;ROL;2;
000133;RONALDIÑO 3 EN 1;DEPORTIVO;2;
000134;RUMBLE ROSES;ARCADE;5;
000135;SEGA CLASSICS COLLECTION;ARCADE;4;
000136;STEAMBOT CRONICLES;ROL;2;
000137;STITCH EXPERIMENT;INFANTILES;8;
000138;SUPER NINTENDO;ARCADE;0;
000139;XTREME LEGEND;ROL;7;
000140;WIN RACK2 PROYECT POSEDON;ACCIÓN;11;
000141;COLIN MCRAE RALLY 2005;CONDUCCIÓN;2;
000142;NASCAR 2006;CONDUCCIÓN;0;
000143;LA RUSH;CONDUCCIÓN;10;
000144;PRO EVOLUTION 5 ESPAÑOL;DEPORTIVO;0;
000145;PRO EVOLUTION 6 INGLES;DEPORTIVO;0;
000146;BRASILERAO;DEPORTIVO;1;
000147;DARKWATCH (VOCES EN ESP.);ACCIÓN;14;
000148;FINAL FANTASY X;ROL;6;
000149;FINAL FANTASY X-2;ROL;2;
000150;EVIL DEAD REGENERATION;ACCIÓN;2;
000151;ZATCHABELL;ROL;19;
000152;KING KONG;ACCIÓN;3;
000153;CONFLIC GLOVAL STORM;ACCIÓN;6;
000154;DEAD TO RIGHTS II;ACCIÓN;11;
000155;EL SEÑOR DE LOS ANILLOS EL RETORNO DEL REY;ACCIÓN;10;
000156;DEVIL MAY CRY 3;ACCIÓN;1;
000157;METAL SLUG 4;ARCADE;13;
000158;SNESTATION GAMES;ARCADE;8;
000159;3 EN UNO SLUG 3 TORTUGAS ;ARCADE;14;
000160;CABALLEROS DEL ZODIACO HADEZ;ARCADE;0;
000161;THE FCT AND THE FURIOUS TOKYO DRIFT;CONDUCCIÓN;6;
000162;GRAN PRIX SERIES D1 PROFESIONAL;CONDUCCIÓN;7;
000163;NBA LIVE 2007;DEPORTIVO;2;
000164;STARTREK VOYAGER;ACCIÓN;0;
000165;FIFA 2007 ESP.;DEPORTIVO;0;
000166;LOS SIMS 2 PETS (ESP.);ESTRATEGIA;3;
000167;NARUTO ULTIMATE NINJA;ARCADE;8;
000168;FINAL FANTASY V III;ROL;8;
000169;BULLY;ACCIÓN;7;
000170;PRINCE OF PERCIA THE TWO THONEO;ACCIÓN;7;
000171;STATE EMERGENCY 2;ACCIÓN;3;
000172;THE SUFFERING ;ACCIÓN;6;
000173;SPYHUNTER NOWHERE TO RUN;ACCIÓN;6;
000174;NARC;ACCIÓN;2;
000175;YAKUZA;ACCIÓN;4;
000176;JUST CAUSE;ACCIÓN;2;
000177;SPLINTER CELL DOUBLE AGENT;ACCIÓN;6;
000178;SCARFACE THE WORLD IS YOURS (ESPAÑOL);ACCIÓN;8;
000179;METAL GEAR SOLID 2;ESTRATEGIA;7;
000180;METAL GEAR SOLID 3;ESTRATEGIA;9;
000181;MORTAL KOMBAT ARMAGEDON;ARCADE;4;
000182;SUPERMAN RETURNS;ACCIÓN;7;
000183;DRAGON BALL Z BUDOKAI 2;ARCADE;4;
000184;SMACK DOW 2007;ARCADE;5;
000185;GRAN TURISMO 4;CONDUCCIÓN;0;
000186;WINNING ELEVENG 11 INGLES;DEPORTIVO;3;
000187;CHICKEN LITTLE ACE IN ACTION 07;INFANTILES;6;
000188;VOLCANO ISLAND BATLE FOR BOB JIMY 07;INFANTILES;9;
000189;HARLEY DAVISON RACE TO RALLY MOTOS;CONDUCCIÓN;10;
000190;CARBON;CONDUCCIÓN;4;
000191;SOCOM COMBINED ASSAULT;ACCIÓN;8;
000192;CIVIL WAR A NATION DIVIDED;ACCIÓN;4;
000193;SHREK SMASHN CRASH RACING 07;INFANTILES;5;
000194;DRAGON QUEST VIII;ROL;3;
000195;TOP SPIN;DEPORTIVO;10;
000196;24 THE GAME;ACCIÓN;3;
000197;RAMPAGE TOTAL DESTRUCTION;ROL;0;
000198;CRASH TWIN SANITY (VOCES EN ESP.);INFANTILES;12;
000199;GOD OF WAR;ACCIÓN;8;
000200;PRO EVOLUTION 4;CONDUCCIÓN;1;
000201;FIFA 2004;DEPORTIVO;1;
000202;HEROES JUSTICIA HEROES;ACCIÓN;6;
000203;ULTIMATE ALIANCE SPAIDERMAN 07;ACCIÓN;1;
000204;CORVETE  EVOLUTION GT;CONDUCCIÓN;9;
000205;EVOLUTION GT;ROL;7;
000206;TOBOKOT PLUS;ROL;3;
000207;DDRMAX 2;ROL;4;
000208;METAL SLUG COLECCIÓN;ARCADE;5;
000209;DESTROY ALL HUMANS! 2;ACCIÓN;4;
000210;ROQUE TROOPER;ACCIÓN;6;
000211;BALTETATION DRAGON BALL NARUTO;ARCADE;7;
000212;SWORS OF DESTYMI;ACCIÓN;9;
000213;EUREKA SEVEN THE NEW WAVE;ROL;3;
000214;DIE HARD TRILOGY;ACCIÓN;6;
000215;VEGETALES LARRY BOY AND THE BAD APPLE;INFANTILES;4;
000216;BIONICLE HEROES;ACCIÓN;9;
000217;STAR WARS 2  LEGOS;INFANTILES;2;
000218;FAMILY GUY PADRE;ACCIÓN;6;
000219;TONY HAWK´S PROYECT PATINE;CONDUCCIÓN;5;
000220;THE SOPRANOS ROAD TO RESPECT;ACCIÓN;4;
000221;TIME CRISIS 3;ROL;10;
000222;THE SIMSOMPS SKATEBOARDING;DEPORTIVO;7;
000223;LEGENDS OF WRESTING;ARCADE;0;
000224;RESIDENT EVIL 4;ACCIÓN;1;
000225;CRASH NITRO KART;CONDUCCIÓN;0;
000226;CALL OF DUTY 3;ACCIÓN;8;
000227;FINAL FANTASY XII (ESP.);ROL;5;
000228;GRAND THEFT AUTO III (GTA 3 ESPAÑOL);ACCIÓN;12;
000229;DRAGON BALL Z BUDOKAI 3;ARCADE;12;
000230;MEGAMAN X8;PLATAFORMAS;3;
000231;LOS INCREIBLES;INFANTILES;1;
000232;STREET FIGTHER ZERO 2006;ARCADE;4;
000233;GHOST RIDER;ACCIÓN;9;
000234;SKI ALPIN RACING;DEPORTIVO;7;
000235;ARTHUR;ACCIÓN;3;
000236;MADEMAN;ACCIÓN;4;
000237;NFL STREET 3;DEPORTIVO;12;
000238;GOD OF WAR 2;ACCIÓN;3;
000239;PSI OPS;ACCIÓN;7;
000240;DEVIL MAY CRY 2 DISC 1;ACCIÓN;12;
000241;DEVIL MAY CRY 2 DISC 2;ACCIÓN;13;
000242;DAKAR 2;CONDUCCIÓN;3;
000243;MERCENARIOS;ACCIÓN;8;
000244;25 TO LIFE;ACCIÓN;8;
000245;ATV 4;CONDUCCIÓN;6;
000246;FUTBOL BOLIVIANO;DEPORTIVO;0;
000247;PIRATAS DEL CARIBE;ACCIÓN;7;
000248;FORMULA UNO 2006;CONDUCCIÓN;6;
000249;BOB SPONJA CREATURE KRUSTI KRAB;INFANTILES;6;
000250;SOUL CALIBUR 3;ACCIÓN;11;
000251;GUITAR HERO 2;ARCADE;16;
000252;HAPPY FEET;INFANTILES;16;
000253;HUMMER;CONDUCCIÓN;11;
000254;GOLDEN EYE ROGUE AGENTE;ROL;5;
000255;WININNG ELEVENG 11 ESPAÑOL ;DEPORTIVO;0;
000256;LAST BLADE I Y II;ROL;3;
000257;BOURNOUT DOMINATOR;CONDUCCIÓN;11;
000258;HACK G,U REBURTH VOL 1;ROL;2;
